time fixation s m RnumSeed nSamplesGot qGlobal q0 q1 clineWidth FST
7200 0 2.000000E-02 5.000000E-02 737171431 72 7.647000E-01 7.454012E-01 7.848671E-01 2.533833E+01 2.163021E-03
7300 0 2.000000E-02 5.000000E-02 737171431 73 8.011000E-01 7.655008E-01 8.371578E-01 1.395537E+01 8.055975E-03
7400 0 2.000000E-02 5.000000E-02 737171431 74 7.969000E-01 7.649165E-01 8.292438E-01 1.554550E+01 6.391507E-03
7500 0 2.000000E-02 5.000000E-02 737171431 75 7.741000E-01 7.605990E-01 7.883903E-01 3.598249E+01 1.103301E-03
7600 0 2.000000E-02 5.000000E-02 737171431 76 8.467000E-01 8.293328E-01 8.634933E-01 2.927356E+01 2.246957E-03
7700 0 2.000000E-02 5.000000E-02 737171431 77 8.927000E-01 8.887141E-01 8.968254E-01 1.232851E+02 1.716663E-04
7800 0 2.000000E-02 5.000000E-02 737171431 78 9.048000E-01 9.004711E-01 9.092947E-01 1.133324E+02 2.258855E-04
7900 0 2.000000E-02 5.000000E-02 737171431 79 9.502000E-01 9.534649E-01 9.469817E-01 1.542444E+02 2.220517E-04
8000 0 2.000000E-02 5.000000E-02 737171431 80 9.546000E-01 9.509531E-01 9.582998E-01 1.361170E+02 3.113261E-04
8100 0 2.000000E-02 5.000000E-02 737171431 81 9.798000E-01 9.761327E-01 9.833861E-01 1.378666E+02 6.644752E-04
8200 0 2.000000E-02 5.000000E-02 737171431 82 9.940000E-01 9.947749E-01 9.932325E-01 6.483253E+02 9.972554E-05
8300 0 2.000000E-02 5.000000E-02 737171431 83 9.874000E-01 9.846517E-01 9.902399E-01 1.789478E+02 6.273458E-04
8377 1 2.000000E-02 5.000000E-02 737171431 84 1.000000E+00 1.000000E+00 1.000000E+00 NaN NaN
